timestamp,message
1778188880397,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:73"",""message"":""Athena query for akamai validator (id=2d2321da-6869-4afb-885b-465c00edbb7b) executed successfully"",""timestamp"":""2026-05-07 21:21:20,397+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880717,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:109"",""message"":""Record passes special conditions for AppCI CPA"",""timestamp"":""2026-05-07 21:21:20,717+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880717,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:109"",""message"":""Record passes special conditions for AppCI CPA"",""timestamp"":""2026-05-07 21:21:20,717+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880717,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:109"",""message"":""Record passes special conditions for AppCI CPA"",""timestamp"":""2026-05-07 21:21:20,717+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""get_akamai_onboarding_compliance:142"",""message"":""Akamai onboarding & coverage compliance for CPA: PASS"",""timestamp"":""2026-05-07 21:21:20,717+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: get_akamai_onboarding_compliance [15608.88ms] (record_count=1)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: validate_akamai (validator_type=akamai)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""validate_akamai:26"",""message"":""Akamai validation PASSED — criteria matched"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_stop:290"",""message"":""  ■ STOP: validate_akamai [0.16ms] (validation_result=PASS)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
1778188880718,"{""level"":""INFO"",""location"":""method_start:222"",""message"":""  ► START: build_result (identifier=CPA)"",""timestamp"":""2026-05-07 21:21:20,718+0000"",""service"":""akamaivalidator-lambda"",""xray_trace_id"":""1-69fd0241-4eba98dad88e879d0417c1a1""}
"
